source_label,list_url,detail_url,download_url,pdf_local,txt_local,sha1_pdf,pdf_text_len,title,crawl_time
DU_THAO_QH_LUAT,,,,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/pdf/15a44aab8a7758bb6e5809a2220363ad50166a0a.pdf,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/txt/15a44aab8a7758bb6e5809a2220363ad50166a0a.txt,15a44aab8a7758bb6e5809a2220363ad50166a0a,81204,75ecb748d62c41659cb717132a353c2a.pdf,2025-10-17T07:04:55.325143+00:00
DU_THAO_QH_LUAT,,,,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/pdf/4a113f5f3847998536b6e4e227ef6e441fcc44b2.doc,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/txt/4a113f5f3847998536b6e4e227ef6e441fcc44b2.txt,4a113f5f3847998536b6e4e227ef6e441fcc44b2,0,737834e4e26d4e8cb51c89eb7dd8c007.doc,2025-10-17T07:04:57.800070+00:00
DU_THAO_QH_LUAT,,,,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/pdf/ac8b36b12e7263550a045985cf04668729e73d90.docx,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/txt/ac8b36b12e7263550a045985cf04668729e73d90.txt,ac8b36b12e7263550a045985cf04668729e73d90,0,4e7733673de142eea680e7b7b5ced430.docx,2025-10-17T07:04:57.850650+00:00
DU_THAO_QH_LUAT,,,,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/pdf/7bcfa1e7dad01e795e81181db4c3b3b30d3382d6.docx,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/txt/7bcfa1e7dad01e795e81181db4c3b3b30d3382d6.txt,7bcfa1e7dad01e795e81181db4c3b3b30d3382d6,0,4843d41fa14f4f3fab741629e5744237.docx,2025-10-17T07:04:57.912912+00:00
DU_THAO_QH_LUAT,,,,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/pdf/f4629bf2588e6474759995b77ade80a98f8fdf78.docx,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/txt/f4629bf2588e6474759995b77ade80a98f8fdf78.txt,f4629bf2588e6474759995b77ade80a98f8fdf78,0,ccaf0ce9124e442a9af14a0649dda30a.docx,2025-10-17T07:04:57.979577+00:00
DU_THAO_QH_LUAT,,,,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/pdf/7a03325784339af01d7aa9741bc27f486fc1e0e8.docx,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/txt/7a03325784339af01d7aa9741bc27f486fc1e0e8.txt,7a03325784339af01d7aa9741bc27f486fc1e0e8,0,86a3bf2d06b04a259d4ec8c27f879e9d.docx,2025-10-17T07:04:58.038322+00:00
DU_THAO_QH_LUAT,,,,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/pdf/2d695705ffbe8b96bb01ea7ffe23c884a3818ea4.docx,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/txt/2d695705ffbe8b96bb01ea7ffe23c884a3818ea4.txt,2d695705ffbe8b96bb01ea7ffe23c884a3818ea4,0,85b28458761f428b89eff128241a13a6.docx,2025-10-17T07:04:58.096349+00:00
DU_THAO_QH_LUAT,,,,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/pdf/05d6b9381297e0e51ed1ce42d66f7c4b627aabc9.doc,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/txt/05d6b9381297e0e51ed1ce42d66f7c4b627aabc9.txt,05d6b9381297e0e51ed1ce42d66f7c4b627aabc9,0,4abfce99c6594c7e8461170427711c77.doc,2025-10-17T07:05:00.235024+00:00
DU_THAO_QH_LUAT,,,,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/pdf/c1df1e62a017ca20efec3a8bcd18e6b4ab9e2ba4.pdf,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/txt/c1df1e62a017ca20efec3a8bcd18e6b4ab9e2ba4.txt,c1df1e62a017ca20efec3a8bcd18e6b4ab9e2ba4,135798,c4e670d7a71e4f18a0553fbe5f64a4ea.pdf,2025-10-17T07:05:08.879657+00:00
DU_THAO_QH_LUAT,,,,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/pdf/b8fcfff21d12766ba73fe1fc8306b9d71e1bcea7.docx,/Users/minhtan/Documents/GitHub/Law_in_Tech/outputs/raw/txt/b8fcfff21d12766ba73fe1fc8306b9d71e1bcea7.txt,b8fcfff21d12766ba73fe1fc8306b9d71e1bcea7,0,652e743d39064c1098732c26ad58de99.docx,2025-10-17T07:05:11.141015+00:00
